Molecule name: pNH3
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   6.1466e-01 cm-3
nb of mol levels    34

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	1
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    2    2    0    1     -> 0    2    2    0    0    2.3722577e+10  

mean inv       -1.946e-04
mean gain      -1.929e-16 cm-1
optical depth  0.000e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       0.000e+00 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
4.660e-01        -5.475e-05   -1.568e-16   0.000e+00    
4.696e-01        -5.592e-05   -1.637e-16   0.000e+00    
4.730e-01        -5.719e-05   -1.724e-16   0.000e+00    
4.764e-01        -6.115e-05   -1.876e-16   0.000e+00    
4.807e-01        -5.987e-05   -1.887e-16   0.000e+00    
4.838e-01        -6.389e-05   -2.064e-16   0.000e+00    
4.870e-01        -6.550e-05   -2.137e-16   0.000e+00    
4.904e-01        -6.859e-05   -2.290e-16   0.000e+00    
4.936e-01        -7.075e-05   -2.389e-16   0.000e+00    
4.973e-01        -7.510e-05   -2.578e-16   0.000e+00    
5.015e-01        -7.794e-05   -2.713e-16   0.000e+00    
5.060e-01        -8.349e-05   -2.954e-16   0.000e+00    
5.093e-01        -8.902e-05   -3.192e-16   0.000e+00    
5.126e-01        -9.141e-05   -3.295e-16   0.000e+00    
5.169e-01        -9.682e-05   -3.528e-16   0.000e+00    
5.209e-01        -1.009e-04   -3.701e-16   0.000e+00    
5.251e-01        -1.042e-04   -3.844e-16   0.000e+00    
5.292e-01        -1.077e-04   -3.990e-16   0.000e+00    
5.334e-01        -1.123e-04   -4.172e-16   0.000e+00    
5.375e-01        -1.170e-04   -4.354e-16   0.000e+00    
5.415e-01        -1.206e-04   -4.492e-16   0.000e+00    
5.457e-01        -1.239e-04   -4.612e-16   0.000e+00    
5.500e-01        -1.265e-04   -4.702e-16   0.000e+00    
5.544e-01        -1.290e-04   -4.784e-16   0.000e+00    
5.592e-01        -1.312e-04   -4.851e-16   0.000e+00    
5.639e-01        -1.337e-04   -4.917e-16   0.000e+00    
5.681e-01        -1.357e-04   -4.970e-16   0.000e+00    
5.725e-01        -1.372e-04   -5.000e-16   0.000e+00    
5.770e-01        -1.391e-04   -5.033e-16   0.000e+00    
5.815e-01        -1.409e-04   -5.068e-16   0.000e+00    
5.861e-01        -1.423e-04   -5.081e-16   0.000e+00    
5.909e-01        -1.439e-04   -5.095e-16   0.000e+00    
5.958e-01        -1.455e-04   -5.108e-16   0.000e+00    
6.002e-01        -1.467e-04   -5.099e-16   0.000e+00    
6.048e-01        -1.478e-04   -5.094e-16   0.000e+00    
6.099e-01        -1.492e-04   -5.086e-16   0.000e+00    
6.143e-01        -1.501e-04   -5.061e-16   0.000e+00    
6.190e-01        -1.509e-04   -5.044e-16   0.000e+00    
6.242e-01        -1.520e-04   -5.014e-16   0.000e+00    
6.288e-01        -1.528e-04   -4.982e-16   0.000e+00    
6.341e-01        -1.535e-04   -4.948e-16   0.000e+00    
6.393e-01        -1.544e-04   -4.900e-16   0.000e+00    
6.442e-01        -1.550e-04   -4.863e-16   0.000e+00    
6.496e-01        -1.556e-04   -4.811e-16   0.000e+00    
6.543e-01        -1.562e-04   -4.759e-16   0.000e+00    
6.588e-01        -1.567e-04   -4.720e-16   0.000e+00    
6.647e-01        -1.571e-04   -4.662e-16   0.000e+00    
6.700e-01        -1.576e-04   -4.593e-16   0.000e+00    
6.742e-01        -1.579e-04   -4.547e-16   0.000e+00    
6.785e-01        -1.582e-04   -4.497e-16   0.000e+00    
6.830e-01        -1.584e-04   -4.441e-16   0.000e+00    
6.875e-01        -1.586e-04   -4.388e-16   0.000e+00    
6.923e-01        -1.588e-04   -4.332e-16   0.000e+00    
6.972e-01        -1.590e-04   -4.274e-16   0.000e+00    
7.024e-01        -1.591e-04   -4.209e-16   0.000e+00    
7.079e-01        -1.593e-04   -4.144e-16   0.000e+00    
7.137e-01        -1.593e-04   -4.068e-16   0.000e+00    
7.201e-01        -1.595e-04   -3.998e-16   0.000e+00    
7.266e-01        -1.594e-04   -3.902e-16   0.000e+00    
7.326e-01        -1.595e-04   -3.833e-16   0.000e+00    
7.387e-01        -1.593e-04   -3.750e-16   0.000e+00    
7.450e-01        -1.594e-04   -3.675e-16   0.000e+00    
7.516e-01        -1.592e-04   -3.589e-16   0.000e+00    
7.583e-01        -1.591e-04   -3.508e-16   0.000e+00    
7.654e-01        -1.589e-04   -3.422e-16   0.000e+00    
7.722e-01        -1.587e-04   -3.331e-16   0.000e+00    
7.794e-01        -1.586e-04   -3.259e-16   0.000e+00    
7.879e-01        -1.583e-04   -3.159e-16   0.000e+00    
7.967e-01        -1.579e-04   -3.056e-16   0.000e+00    
8.056e-01        -1.576e-04   -2.954e-16   0.000e+00    
8.146e-01        -1.573e-04   -2.854e-16   0.000e+00    
8.238e-01        -1.568e-04   -2.756e-16   0.000e+00    
8.338e-01        -1.565e-04   -2.654e-16   0.000e+00    
8.442e-01        -1.561e-04   -2.550e-16   0.000e+00    
8.531e-01        -1.555e-04   -2.441e-16   0.000e+00    
8.609e-01        -1.553e-04   -2.374e-16   0.000e+00    
8.701e-01        -1.550e-04   -2.295e-16   0.000e+00    
8.807e-01        -1.544e-04   -2.202e-16   0.000e+00    
8.933e-01        -1.541e-04   -2.104e-16   0.000e+00    
9.082e-01        -1.534e-04   -1.986e-16   0.000e+00    
9.259e-01        -1.529e-04   -1.859e-16   0.000e+00    
9.460e-01        -1.521e-04   -1.714e-16   0.000e+00    
9.685e-01        -1.515e-04   -1.572e-16   0.000e+00    
1.006e+00        -1.506e-04   -1.414e-16   0.000e+00    

