Molecule name: OH
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   5.2933e-02 cm-3
nb of mol levels    24

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	2
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1.5  1.5  0    1     -> 0    1.5  1.5  0    -1   1.7213184e+09  

mean inv       1.699e-03
mean gain      1.849e-17 cm-1
optical depth  2.719e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.935e+01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
4.660e-01        1.375e-03    9.903e-18    0.000e+00    
4.696e-01        1.554e-03    1.277e-17    0.000e+00    
4.730e-01        1.865e-03    1.823e-17    0.000e+00    
4.764e-01        1.973e-03    2.129e-17    0.000e+00    
4.807e-01        2.081e-03    2.611e-17    0.000e+00    
4.838e-01        2.129e-03    3.059e-17    0.000e+00    
4.870e-01        2.109e-03    3.198e-17    0.000e+00    
4.904e-01        2.067e-03    3.553e-17    0.000e+00    
4.936e-01        2.070e-03    3.784e-17    0.000e+00    
4.973e-01        2.032e-03    4.079e-17    0.000e+00    
5.015e-01        2.039e-03    4.441e-17    0.000e+00    
5.060e-01        2.010e-03    4.818e-17    0.000e+00    
5.093e-01        1.990e-03    5.206e-17    0.000e+00    
5.126e-01        1.974e-03    5.358e-17    0.000e+00    
5.169e-01        1.913e-03    5.615e-17    0.000e+00    
5.209e-01        1.823e-03    5.692e-17    0.000e+00    
5.251e-01        1.777e-03    5.895e-17    0.000e+00    
5.292e-01        1.674e-03    5.885e-17    0.000e+00    
5.334e-01        1.558e-03    5.757e-17    0.000e+00    
5.375e-01        1.497e-03    5.838e-17    0.000e+00    
5.415e-01        1.352e-03    5.507e-17    0.000e+00    
5.457e-01        1.293e-03    5.497e-17    0.000e+00    
