Molecule name: ch3oh_a
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   3.7502e-02 cm-3
nb of mol levels    768

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	16
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1    -1   0    0     -> 0    1    1    0    0    8.3428554e+08  

mean inv       4.900e-04
mean gain      1.371e-18 cm-1
optical depth  1.484e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -1.261e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
4.807e-01        7.062e-04    4.063e-18    0.000e+00    
4.838e-01        7.519e-04    4.379e-18    0.000e+00    
4.870e-01        7.681e-04    4.494e-18    0.000e+00    
4.904e-01        8.097e-04    4.785e-18    0.000e+00    
4.936e-01        8.324e-04    4.940e-18    0.000e+00    
4.973e-01        8.748e-04    5.222e-18    0.000e+00    
5.015e-01        9.040e-04    5.418e-18    0.000e+00    
5.060e-01        9.441e-04    5.677e-18    0.000e+00    
5.093e-01        9.759e-04    5.875e-18    0.000e+00    
5.126e-01        9.830e-04    5.917e-18    0.000e+00    
5.169e-01        1.002e-03    6.022e-18    0.000e+00    
5.209e-01        1.011e-03    6.055e-18    0.000e+00    
5.251e-01        1.015e-03    6.054e-18    0.000e+00    
5.292e-01        1.011e-03    5.992e-18    0.000e+00    
5.334e-01        9.889e-04    5.821e-18    0.000e+00    
5.375e-01        9.796e-04    5.714e-18    0.000e+00    
5.415e-01        9.754e-04    5.639e-18    0.000e+00    
5.457e-01        9.725e-04    5.563e-18    0.000e+00    
5.500e-01        9.700e-04    5.482e-18    0.000e+00    
5.544e-01        9.684e-04    5.403e-18    0.000e+00    
5.592e-01        9.667e-04    5.314e-18    0.000e+00    
5.639e-01        9.639e-04    5.206e-18    0.000e+00    
5.681e-01        9.614e-04    5.111e-18    0.000e+00    
5.725e-01        9.590e-04    5.019e-18    0.000e+00    
5.770e-01        9.550e-04    4.903e-18    0.000e+00    
5.815e-01        9.504e-04    4.789e-18    0.000e+00    
5.861e-01        9.459e-04    4.673e-18    0.000e+00    
5.909e-01        9.402e-04    4.547e-18    0.000e+00    
5.958e-01        9.338e-04    4.412e-18    0.000e+00    
6.002e-01        9.289e-04    4.285e-18    0.000e+00    
6.048e-01        9.246e-04    4.179e-18    0.000e+00    
6.099e-01        9.190e-04    4.041e-18    0.000e+00    
6.143e-01        9.150e-04    3.920e-18    0.000e+00    
6.190e-01        9.108e-04    3.818e-18    0.000e+00    
6.242e-01        9.050e-04    3.676e-18    0.000e+00    
6.288e-01        9.019e-04    3.564e-18    0.000e+00    
6.341e-01        8.972e-04    3.453e-18    0.000e+00    
6.393e-01        8.920e-04    3.308e-18    0.000e+00    
6.442e-01        8.897e-04    3.211e-18    0.000e+00    
6.496e-01        8.853e-04    3.087e-18    0.000e+00    
6.543e-01        8.785e-04    2.957e-18    0.000e+00    
