Molecule name: oNH3
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   1.2312e+00 cm-3
nb of mol levels    17

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	1
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    3    3    0    1     -> 0    3    3    0    0    2.3870075e+10  

mean inv       1.713e-05
mean gain      -1.394e-16 cm-1
optical depth  2.018e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.341e+03 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
4.838e-01        -2.818e-05   -5.727e-16   0.000e+00    
4.870e-01        -2.952e-05   -6.057e-16   0.000e+00    
4.904e-01        -3.195e-05   -6.710e-16   0.000e+00    
4.936e-01        -3.282e-05   -6.971e-16   0.000e+00    
4.973e-01        -3.489e-05   -7.532e-16   0.000e+00    
5.015e-01        -3.607e-05   -7.898e-16   0.000e+00    
5.060e-01        -3.851e-05   -8.570e-16   0.000e+00    
5.093e-01        -3.855e-05   -8.694e-16   0.000e+00    
5.126e-01        -3.871e-05   -8.776e-16   0.000e+00    
5.169e-01        -3.900e-05   -8.936e-16   0.000e+00    
5.209e-01        -3.893e-05   -8.985e-16   0.000e+00    
5.251e-01        -3.843e-05   -8.920e-16   0.000e+00    
5.292e-01        -3.758e-05   -8.759e-16   0.000e+00    
5.334e-01        -3.695e-05   -8.639e-16   0.000e+00    
5.375e-01        -3.620e-05   -8.474e-16   0.000e+00    
5.415e-01        -3.544e-05   -8.301e-16   0.000e+00    
5.457e-01        -3.465e-05   -8.110e-16   0.000e+00    
5.500e-01        -3.370e-05   -7.879e-16   0.000e+00    
5.544e-01        -3.275e-05   -7.638e-16   0.000e+00    
5.592e-01        -3.190e-05   -7.416e-16   0.000e+00    
5.639e-01        -3.086e-05   -7.141e-16   0.000e+00    
5.681e-01        -2.998e-05   -6.905e-16   0.000e+00    
5.725e-01        -2.936e-05   -6.727e-16   0.000e+00    
5.770e-01        -2.850e-05   -6.488e-16   0.000e+00    
5.815e-01        -2.764e-05   -6.252e-16   0.000e+00    
5.861e-01        -2.696e-05   -6.053e-16   0.000e+00    
5.909e-01        -2.618e-05   -5.831e-16   0.000e+00    
5.958e-01        -2.528e-05   -5.582e-16   0.000e+00    
6.002e-01        -2.461e-05   -5.379e-16   0.000e+00    
6.048e-01        -2.403e-05   -5.209e-16   0.000e+00    
6.099e-01        -2.317e-05   -4.969e-16   0.000e+00    
6.143e-01        -2.255e-05   -4.783e-16   0.000e+00    
6.190e-01        -2.204e-05   -4.635e-16   0.000e+00    
6.242e-01        -2.126e-05   -4.409e-16   0.000e+00    
6.288e-01        -2.070e-05   -4.245e-16   0.000e+00    
6.341e-01        -2.015e-05   -4.086e-16   0.000e+00    
6.393e-01        -1.946e-05   -3.886e-16   0.000e+00    
6.442e-01        -1.899e-05   -3.749e-16   0.000e+00    
6.496e-01        -1.843e-05   -3.583e-16   0.000e+00    
6.543e-01        -1.780e-05   -3.411e-16   0.000e+00    
6.588e-01        -1.735e-05   -3.288e-16   0.000e+00    
6.647e-01        -1.688e-05   -3.152e-16   0.000e+00    
6.700e-01        -1.619e-05   -2.967e-16   0.000e+00    
6.742e-01        -1.591e-05   -2.881e-16   0.000e+00    
